# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "2" "-p" "-a" "chr19.gtf" "-o" "raw_counts.txt" "sample1_sorted.bam" "sample2_sorted.bam" "control1_sorted.bam" "control2_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	sample1_sorted.bam	sample2_sorted.bam	control1_sorted.bam	control2_sorted.bam
ENSMUSG00000117850	19	23414620	23415091	-	472	5	4	1	2
ENSMUSG00000033053	19;19;19;19;19;19	23536117;23549849;23569473;23570391;23593883;23629939	23536401;23549906;23569541;23570509;23593988;23630176	-;-;-;-;-;-	875	12	23	43	18
ENSMUSG00000117944	19	23583262	23583643	+	382	180	131	104	161
ENSMUSG00000044424	19	23597113	23597683	+	571	1391	1295	2331	1325
ENSMUSG00000088027	19	23620773	23620874	+	102	0	0	0	0
ENSMUSG00000098010	19	23643955	23644947	+	993	0	0	0	1
ENSMUSG00000051255	19	23653212	23653844	+	633	402	490	630	513
ENSMUSG00000074925	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	23664793;23664828;23665083;23665108;23671685;23671685;23671685;23680442;23680442;23680442;23683071;23683071;23683071;23686118;23686118;23686118;23686244;23695177;23695177;23697422;23697422;23697422;23697422;23698130;23700643	23664909;23664909;23665318;23665318;23671854;23671854;23671854;23680508;23680508;23680508;23683175;23683175;23683175;23686331;23686331;23686331;23686331;23695466;23695466;23698376;23697562;23697718;23709032;23698323;23702398	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	12810	162	330	270	307
ENSMUSG00000117685	19;19;19;19	23722866;23723747;23724519;23725307	23723200;23723871;23724668;23725365	-;-;-;-	669	0	0	0	0
ENSMUSG00000024897	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	23736251;23870099;23881821;23889819;23889819;23893315;23893315;23894917;23894917;23910048;23910048;23911064;23911064;23912139;23912139;23913782;23913782;23914785;23914785;23921375;23921375;23922250;23922250;23923074;23923074	23736455;23871384;23882085;23889914;23889914;23893354;23893354;23895062;23895062;23910080;23910080;23911150;23911150;23912324;23912324;23913961;23913961;23914997;23914997;23921494;23921494;23922390;23922390;23924740;23926960	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6885	244	576	651	1007
ENSMUSG00000118287	19	23777902	23778181	+	280	0	0	0	0
ENSMUSG00000118340	19;19;19;19	23907189;23913756;23914669;23918830	23908258;23914032;23914893;23918958	-;-;-;-	1701	0	0	3	0
ENSMUSG00000071604	19;19;19;19;19;19;19;19;19;19;19;19;19;19	23950114;23950576;23952725;23952725;23953462;23955326;23956754;23956950;23962073;23963773;23965811;23972145;23998970;24007912	23950995;23950995;23953017;23953017;23953799;23955478;23956832;23957079;23962206;23963880;23965939;23972255;23999026;24008383	-;-;-;-;-;-;-;-;-;-;-;-;-;-	2886	34	28	52	40
ENSMUSG00000117820	19	23982144	23982372	+	229	0	1	0	2
ENSMUSG00000096796	19;19	24042157;24043364	24042362;24043816	+;+	659	0	0	0	0
ENSMUSG00000024812	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	24071869;24071869;24071869;24071887;24073948;24073948;24073948;24073948;24075365;24075365;24075365;24075365;24076817;24076817;24076817;24076817;24078066;24078066;24078066;24078066;24079261;24079261;24079261;24079261;24086009;24086009;24086009;24086009;24087095;24087095;24087095;24087095;24088385;24088385;24088385;24088385;24088790;24088790;24088790;24088790;24090110;24090110;24090110;24090110;24091440;24091440;24091440;24091440;24097309;24097309;24097309;24097309;24098201;24098201;24098201;24098201;24099389;24099389;24099389;24099389;24099627;24099627;24099627;24099627;24101932;24101932;24101932;24101932;24103069;24103069;24103069;24103069;24108219;24108219;24108219;24108219;24108679;24109892;24109970;24109970;24109970;24109970;24109970;24112214;24112214;24112214;24112214;24112214;24112214;24112224;24116143;24116143;24116143;24116143;24116143;24116143;24116143;24120147;24124177;24150270;24151319;24171073;24171073;24177649;24202215;24202215	24072948;24072954;24072954;24072954;24074033;24074033;24074033;24074033;24075679;24075679;24075679;24075679;24076927;24076927;24076927;24076927;24078278;24078278;24078278;24078278;24079361;24079361;24079361;24079361;24086219;24086219;24086219;24086219;24087174;24087174;24087174;24087174;24088480;24088480;24088480;24088480;24088983;24088983;24088983;24088983;24090320;24090320;24090320;24090320;24091548;24091548;24091548;24091548;24097459;24097459;24097459;24097459;24098267;24098267;24098267;24098267;24099522;24099522;24099522;24099522;24099735;24099735;24099735;24099735;24102085;24102085;24102085;24102085;24103172;24103172;24103172;24103172;24108837;24108837;24108837;24108837;24108837;24110072;24110072;24110072;24110072;24110072;24110072;24112338;24112338;24112338;24112338;24112338;24112338;24112338;24116196;24116196;24116196;24116196;24116196;24116196;24116196;24120446;24124431;24150500;24151553;24171193;24171193;24178014;24202390;24202394	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6199	448	539	467	493
ENSMUSG00000118277	19	24124261	24124588	-	328	0	0	0	0
ENSMUSG00000118371	19	24131434	24131965	+	532	0	0	0	0
ENSMUSG00000059363	19;19;19;19;19;19;19;19;19;19;19;19;19;19	24238817;24238865;24239226;24244666;24244666;24244666;24249668;24249711;24249711;24254545;24254545;24254545;24257771;24257771	24239417;24239417;24239417;24244763;24244763;24244763;24249831;24249831;24249831;24255535;24254639;24254639;24257932;24257969	-;-;-;-;-;-;-;-;-;-;-;-;-;-	2053	76	118	162	117
ENSMUSG00000082107	19	24267080	24268190	+	1111	1018	1229	1143	1493
ENSMUSG00000024867	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	24272158;24272158;24272761;24281396;24281396;24281396;24294383;24323601;24323601;24327498;24332482;24332482;24335394;24335394;24335575;24335575;24337304;24337304;24356166;24356166;24359052;24359052;24367708;24367708;24373525;24374380;24374380;24412750;24416417;24416417;24416417;24416417;24420966;24420966;24420966;24420966;24533129;24533129;24533129;24533129	24272918;24272918;24272918;24281510;24281510;24281510;24294706;24323745;24323745;24327653;24332566;24332566;24335442;24335442;24335658;24335658;24337515;24337515;24356465;24356465;24359204;24359204;24367825;24367825;24374510;24374510;24374510;24413032;24416485;24416485;24416485;24416485;24421052;24421052;24421052;24421052;24533153;24533202;24533206;24533236	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4035	195	263	340	273
ENSMUSG00000085003	19;19;19;19	24393373;24395294;24396276;24407408	24393554;24395378;24396406;24407693	+;+;+;+	684	1	0	2	2
ENSMUSG00000074922	19	24453866	24454720	-	855	34	57	159	94
ENSMUSG00000048572	19;19	24651372;24654900	24651707;24659597	+;+	5034	9	13	22	29
ENSMUSG00000041731	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	24660380;24661915;24686592;24686592;24705033;24705033;24710906;24710906;24727729;24727729;24740352;24793022;24793494;24793595;24793775;24797484;24797484;24797484;24801656;24801656;24812107;24812107;24812107;24838893;24838893;24838893	24661938;24661938;24686726;24686726;24705216;24705216;24711041;24711041;24727844;24727844;24740442;24793176;24793965;24793965;24793965;24797609;24797609;24797609;24801802;24801802;24812269;24812269;24812269;24839016;24839051;24839219	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3611	6	8	13	3
ENSMUSG00000097950	19	24669764	24670734	-	971	35	93	47	133
ENSMUSG00000117934	19	24833560	24833821	+	262	17	17	25	11
ENSMUSG00000058927	19	24853050	24853995	+	946	3024	3705	4630	4356
ENSMUSG00000051490	19	24876600	24878561	-	1962	0	0	0	0
ENSMUSG00000049134	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	56308467;56308473;56308533;56308558;56308624;56308627;56309317;56309317;56309317;56309317;56309317;56309317;56310155;56310155;56310155;56310155;56310155;56312320;56312320;56312320;56312320;56315627;56315627;56315627;56315627;56315627;56316933;56316933;56316933;56316933;56316933;56317428;56317428;56317428;56317428;56317428;56317428;56323458;56323458;56323458;56323458;56323458;56323458;56324475;56324475;56324475;56324475;56324475;56324914;56324914;56324914;56324914;56324914;56326469;56326469;56326469;56326469;56326469;56328951;56328951;56328951;56328951;56328951;56330571;56330571;56330571;56330571;56330571;56332444;56332444;56332444;56332444;56332444;56333093;56333093;56333093;56333093;56333093;56333892;56333892;56333892;56333892;56333892;56335561;56335561;56335561;56335561;56335561;56338721;56338721;56338721;56338721;56338721;56339864;56339864;56339864;56339864;56339864;56342552;56342552;56342552;56342552;56342552;56343914;56343914;56343914;56343914;56343914;56343914;56345723;56345723;56345723;56345723;56345723;56345723;56349544;56349544;56349544;56349544;56349544;56349544;56350086;56350086;56350086;56350086;56350086;56350224;56352358;56352358;56352358;56352358;56352358;56352358;56352734;56352734;56352734;56352734;56352734;56353824;56353824;56353824;56353824;56353824;56353824;56354807;56354807;56354807;56354807;56354807;56354807;56360255;56360255;56360255;56360255;56360255;56360255;56361239;56361239;56361239;56361239;56361239;56361239;56362796;56362796;56362796;56366487;56366487;56366487;56366487;56366487;56366487;56367492;56367492;56367492;56367492;56367492;56367492;56368248;56368248;56368248;56368248;56368248;56368248;56368638;56368638;56368638;56368638;56368638;56369932;56369932;56369932;56369932;56369932;56370692;56370692;56370692;56370692;56370692;56372491;56372491;56372491;56372491;56372491;56374417;56374417;56374417;56374417;56374417;56377181;56377181;56377181;56377181;56377181;56377822;56377822;56377822;56377822;56378238;56378238;56378238;56378238;56378238	56308734;56308734;56308734;56308734;56308734;56308734;56309448;56309448;56309448;56309448;56309448;56309448;56310466;56310466;56310466;56310466;56310466;56312427;56312427;56312427;56312427;56315731;56315731;56315731;56315731;56315731;56317031;56317031;56317031;56317031;56317031;56317532;56317532;56317532;56317532;56317532;56317532;56323769;56323769;56323769;56323769;56323769;56323769;56324582;56324582;56324582;56324582;56324582;56325018;56325018;56325018;56325018;56325018;56326567;56326567;56326567;56326567;56326567;56329055;56329055;56329055;56329055;56329055;56330768;56330768;56330768;56330768;56330768;56332557;56332557;56332557;56332557;56332557;56333200;56333200;56333200;56333200;56333200;56333996;56333996;56333996;56333996;56333996;56335659;56335659;56335659;56335659;56335659;56338825;56338825;56338825;56338825;56338825;56340175;56340175;56340175;56340175;56340175;56342659;56342659;56342659;56342659;56342659;56344018;56344018;56344018;56344018;56344018;56344018;56345821;56345821;56345821;56345821;56345821;56345821;56349648;56349616;56349648;56349648;56349648;56349648;56350283;56350283;56350283;56350283;56350283;56350283;56352459;56352459;56352459;56352459;56352459;56352459;56352841;56352841;56352841;56352841;56352841;56353928;56353928;56353928;56353928;56353928;56353928;56354905;56354905;56354905;56354905;56354905;56354905;56360359;56360359;56360359;56360359;56360359;56360359;56361346;56361346;56361346;56361346;56361346;56361346;56362900;56362900;56362900;56366603;56366603;56366603;56366603;56366603;56366603;56367596;56367596;56367596;56367596;56367596;56367596;56368349;56368297;56368349;56368349;56368349;56368349;56368745;56368745;56368745;56368745;56368745;56370036;56370036;56370036;56370036;56370036;56370796;56370796;56370796;56370796;56370796;56372595;56372595;56372595;56372595;56372595;56374515;56374515;56374515;56374515;56374515;56377268;56377268;56377268;56377268;56377268;56377916;56377916;56377916;56377916;56378309;56378467;56378467;56378469;56378443	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5507	12	10	5	12
ENSMUSG00000090990	19;19;19	56352694;56353303;56354477	56352864;56353386;56354673	+;+;+	452	0	0	0	0
ENSMUSG00000024878	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	24897280;24898385;24899961;24899996;24900120;24900120;24901955;24905691;24909028;24909043;24915760;24915760;24918113;24918113;24918113;24920047;24920047;24920047;24924953;24925433;24925433;24925433;24926566;24926566;24926566;24926566;24930624;24930624;24930624;24932700;24932700;24932700;24935268;24935268;24935268;24937703;24938681;24938748;24938748	24898066;24898514;24900026;24900026;24900188;24900188;24902200;24905739;24909084;24909084;24915804;24915804;24918199;24918199;24918199;24920093;24920093;24920093;24925470;24925470;24925470;24925470;24926617;24926625;24926625;24926625;24930715;24930715;24930715;24932796;24932796;24932796;24935354;24935354;24935354;24937882;24938974;24938878;24938965	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2911	107	145	151	144
ENSMUSG00000119558	19	24919599	24919667	-	69	0	0	0	0
ENSMUSG00002075381	19	24919600	24919731	-	132	0	0	0	0
ENSMUSG00000025076	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	56385561;56385692;56385710;56392848;56392848;56396785;56414117;56415630;56421674;56421674;56421674;56422234;56422234;56422234;56424659;56424659;56424659;56425128;56425151;56425151;56425151;56429298;56429298;56429298;56429298	56385749;56387032;56385749;56392957;56392957;56397153;56414296;56415827;56421810;56421810;56421810;56422362;56422362;56422362;56424834;56424834;56424834;56425280;56425280;56425280;56425280;56430747;56429369;56429332;56430776	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4403	41	53	55	63
ENSMUSG00000052085	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	24976898;24976908;25028851;25028851;25029977;25038472;25038472;25038472;25042752;25042752;25042752;25044077;25055278;25055444;25057123;25057123;25063544;25065034;25067255;25071703;25072850;25074776;25076957;25078216;25096776;25098478;25099750;25100504;25104432;25104840;25107715;25109428;25114681;25117433;25124659;25126822;25127147;25131509;25131509;25133176;25133248;25135717;25135717;25138380;25138380;25140305;25140812;25141685;25146767;25148865;25149821;25151538;25152724;25154192;25158926;25160325;25160853;25162215;25165701;25169551;25170773;25177738;25178351	24977067;24977067;25028953;25028953;25030002;25038647;25038647;25038647;25044470;25042823;25042823;25044368;25055567;25055567;25057266;25057338;25063629;25065100;25067404;25071783;25073009;25074912;25077050;25078378;25096893;25098548;25099888;25100605;25104527;25105074;25107879;25109600;25114776;25117528;25124808;25127260;25127260;25131693;25131664;25133387;25133387;25135886;25135886;25138433;25138519;25140487;25140941;25141772;25146863;25148999;25149973;25151696;25152824;25154384;25159069;25160456;25160987;25162304;25165937;25169694;25170879;25177908;25179796	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10070	98	93	79	50
ENSMUSG00000065634	19	25143449	25143580	-	132	0	0	0	0
ENSMUSG00000032702	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	25214339;25252112;25295669;25355775;25372667;25384063;25386450;25386450;25386450;25399508;25399508;25399603;25400283;25400283;25400283;25401502;25401502;25401502;25403261;25403261;25405341;25407585;25408243;25410229;25410885	25214681;25252198;25295796;25355894;25372735;25384397;25387136;25389128;25389128;25399705;25399705;25399705;25400391;25400391;25400391;25401872;25401747;25401747;25403348;25403348;25405560;25407727;25408443;25410327;25411860	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6166	245	428	212	473
ENSMUSG00000118238	19	25323778	25324567	-	790	1498	1540	1700	1901
ENSMUSG00000064843	19	25431324	25431427	-	104	0	0	0	0
ENSMUSG00000117720	19;19	25471201;25471822	25471639;25471927	+;+	545	186	213	229	216
ENSMUSG00000024837	19;19;19;19;19;19;19;19;19;19;19;19;19	25482982;25483070;25483071;25487044;25487044;25487044;25523183;25523183;25537231;25537231;25537231;25580551;25580551	25483565;25483565;25483565;25487227;25487227;25487227;25523466;25523466;25537375;25537629;25537375;25580855;25581693	+;+;+;+;+;+;+;+;+;+;+;+;+	2594	0	0	2	0
ENSMUSG00000042372	19;19;19;19	25587665;25587901;25587938;25599626	25587718;25588631;25588231;25601285	+;+;+;+	2445	14	12	23	14
ENSMUSG00000048138	19;19;19;19	25649775;25650780;25652915;25655031	25650122;25651340;25653017;25656355	+;+;+;+	2337	9	21	4	57
ENSMUSG00000098105	19	25773174	25774171	-	998	7220	11244	9346	14300
ENSMUSG00000118016	19;19;19	26015816;26019349;26023732	26016165;26019419;26023831	-;-;-	521	0	0	0	0
ENSMUSG00000117950	19;19;19	26223424;26224453;26227149	26224204;26224612;26227330	-;-;-	1123	2	4	9	4
ENSMUSG00000084589	19	26237769	26237893	-	125	0	0	0	0
ENSMUSG00000118005	19;19;19;19;19	26255246;26255667;26285031;26285638;26285891	26255414;26255775;26285087;26285696;26286107	-;-;-;-;-	611	0	0	0	0
ENSMUSG00000117707	19;19;19	26439744;26441542;26444921	26439886;26441644;26445179	-;-;-	505	0	0	0	0
ENSMUSG00000118001	19;19;19	26460957;26461657;26461810	26461342;26461732;26461850	-;-;-	503	0	0	0	2
ENSMUSG00000117803	19	26508152	26508329	+	178	0	0	0	0
ENSMUSG00000025078	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	56536693;56540191;56558848;56559229;56563190;56563249;56564587;56564587;56576602;56576602;56577726;56580008;56580008;56580825;56582092;56583232;56585688	56537292;56540343;56559303;56559303;56563311;56563311;56564716;56564716;56576701;56576701;56577852;56580076;56580239;56580947;56582298;56583451;56591935	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8718	176	336	327	354
ENSMUSG00000114682	19;19;19	26550396;26551211;26561655	26550527;26551268;26562072	+;+;+	608	0	0	0	0
ENSMUSG00000117890	19;19;19	56644943;56652015;56653007	56645389;56652188;56653043	-;-;-	658	0	0	0	0
ENSMUSG00000035283	19;19;19;19	56710631;56712295;56713771;56721317	56713582;56712358;56713971;56721545	+;+;+;+	3382	34	65	152	144
ENSMUSG00000067063	19	56743431	56743778	-	348	0	0	1	3
ENSMUSG00000035173	19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19	56775913;56778963;56779351;56779395;56780373;56780373;56780373;56781394;56781728;56781728;56781728;56783522;56783522;56783522;56783522;56785781;56785876;56785876;56785876;56786999;56786999;56786999;56788471;56788496;56788496;56788496;56789345;56789345;56789345;56789345;56789599;56789599;56789599;56790317;56790317;56790317;56795398;56795398;56795398;56796410;56796410;56796493;56797625;56797625;56797625;56798671;56798671;56801427;56801427;56810420;56810420	56779478;56779061;56779478;56779478;56780592;56780592;56780592;56781938;56781938;56781938;56781938;56783602;56783587;56783602;56783602;56786065;56786065;56785940;56786065;56787254;56787254;56787254;56788638;56788638;56788638;56788638;56789431;56789431;56789418;56789431;56789697;56789697;56789697;56790421;56790421;56790421;56795517;56795517;56795517;56796622;56796622;56796622;56797753;56797753;56797753;56798797;56798797;56802115;56802121;56810622;56810622	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6899	209	561	462	694
ENSMUSG00000117729	19	5181768	5183000	-	1233	346	353	332	412
